CODE	TYPE	NOM	URL.	DESC.
FHUSAS	DE1	DU Analyse sensorielle et dégustation	http://formations.univ-amu.fr/FHUSAS.html	Ce diplôme a pour objet de se former aux méthodes scientifiques de l’analyse sensorielle et acquérir des aptitudes professionnelles en dégustation des vins et autres produits agro-alimentaires. Cet enseignement répond à un besoin croissant des entreprises, notamment agro-alimentaires, de maîtriser ou améliorer la qualité de leurs produits et de créer une différenciation organoleptique. Cette formation apporte les compétences nécessaires à ces besoins : dégustation, approche multisensorielle, exploitation quantitative des données d’études organoleptiques et transformation en argumentation commerciale.
FHUSAS-PRSASU00	DE1	DU Analyse sensorielle et dégustation	http://formations.univ-amu.fr/FHUSAS-PRSASU00.html	
FHUSAV	DE1	Concours agronomique et vétérinaire	http://formations.univ-amu.fr/FHUSAV.html	
FHUSAV-PRSAVU00	DE1	DU Concours agronomique et vétérinaire	http://formations.univ-amu.fr/FHUSAV-PRSAVU00.html	
FHUSCI	DE1	'DU Compétences complémentaires en Informatique pour l''Enseignement'	http://formations.univ-amu.fr/FHUSCI.html	Cette formation s’adresse aux enseignants de l’enseignement secondaire, ayant déjà une formation en sciences, désirant : Se former afin d’être en mesure d’appréhender avec aisance les contenus des programmes officiels relevant du numérique (collège), de l’algorithmique (mathématiques au lycée), et de l’informatique (spécialité ISN). Réfléchir aux spécificités de l’informatique pour l’enseignement : questions sociétales, coordination de projets informatiques, ressources pour l’enseignement, réflexion sur l’évaluation.
FHUSCI-PRSCIU00	DE1	'DU Compétences complémentaires en Informatique pour l''Enseignement'	http://formations.univ-amu.fr/FHUSCI-PRSCIU00.html	
FHUSIM	DE2	DESU Immunologie	http://formations.univ-amu.fr/FHUSIM.html	
FHUSIM-PRSIMU00	DE2	DESU Immunologie	http://formations.univ-amu.fr/FHUSIM-PRSIMU00.html	
FHUSPG	DE1	DU Posturologie clinique	http://formations.univ-amu.fr/FHUSPG.html	
FHUSPG-PRSPGU00	DE1	DU Posturologie clinique	http://formations.univ-amu.fr/FHUSPG-PRSPGU00.html	
FHUSTI	DE2	'DESU Stratégies expérimentales et traitement de l''information (SETI)'	http://formations.univ-amu.fr/FHUSTI.html	
FHUSTI-PRSTIU00	DE2	'DESU Stratégies expérimentales et traitement de l''information (SETI)'	http://formations.univ-amu.fr/FHUSTI-PRSTIU00.html	
ME3SCH	licence	Chimie	http://formations.univ-amu.fr/ME3SCH.html	Notre licence de Chimie est une licence généraliste qui a été élaborée de façon à permettre aux étudiants d’acquérir progressivement toutes les connaissances théoriques et pratiques ainsi que les compétences nécessaires aux formations accessibles après ces trois années d’études, dont notamment les Masters de notre Université, et aux différents métiers de la Chimie. Master de Chimie Master Nanosciences et nanotechnolgies Master Qualité hygiène et sécurité Master Génie des procédés Master Gestion de l’environnement Master Information et médiation scientifique et technique Master Ingénierie de la santé Elle a pour objectif d’offrir un socle de connaissances fondamentales solides en Chimie permettant ainsi d’acquérir les bases spécifiques à toutes les disciplines de la Chimie que ce soit en synthèse organique et inorganique, en analyse physico-chimique et spectroscopie, en structure moléculaire et matériaux ou encore en génie des procédés mais aussi pour intégrer les formations préparant aux métiers de l’enseignement au travers des parcours Physique-Chimie et Plurisciences.
ME3SCH-PRSCH3AA	licence	Parcours type : Chimie	http://formations.univ-amu.fr/ME3SCH-PRSCH3AA.html	La Licence de Chimie a pour objectif d’offrir aux étudiants un socle de connaissances fondamentales solides et de compétences dans toutes les disciplines de la Chimie permettant ainsi d’acquérir les bases spécifiques à chacune de ces disciplines. La Licence de Chimie est avant tout une Licence généraliste. Elle a pour objectif principal de former des étudiants pour une poursuite d’études au sein des Masters de notre Université, ainsi que pour des formations proposées par d’autres établissements de l’enseignement supérieur, Université ou Ecoles d’ingénieurs. A ce titre, la Licence de Chimie constitue la principale vitrine du Département de Chimie de notre Université et des laboratoires de recherche auxquels sont associés nos enseignants-chercheurs.
ME3SCH-PRSCH3AB	licence	Parcours type : Physique-Chimie	http://formations.univ-amu.fr/ME3SCH-PRSCH3AB.html	Le parcours Physique-Chimie de la Licence de Chimie a pour objectif d’offrir aux étudiants un socle de connaissances fondamentales solides et de compétences dans toutes les disciplines de la Chimie et de la Physique permettant ainsi d’acquérir les bases spécifiques à chacune de ces disciplines. Ce parcours a pour objectif principal de former des étudiants pour une poursuite d’études au sein des Masters de notre Université, ainsi que pour des formations proposées par d’autres établissements de l’enseignement supérieur, Université ou Écoles d’ingénieurs. Il permet également l’accès aux formations délivrées par l’École Supérieure du Professorat et de l’Éducation.
ME3SCH-PRSCH3AC	licence	Parcours type : Génie des procédés	http://formations.univ-amu.fr/ME3SCH-PRSCH3AC.html	Le parcours génie des procédés de la licence de chimie permet aux étudiants de se spécialiser dans le domaine du génie chimique, génie des procédés en acquérant les connaissances fondamentales, technologiques et pratiques nécessaires à la conception, mise en œuvre et optimisation des procédés industrielles de transformation de la matière et de l’énergie tout en les sensibilisant aux aspects environnementaux et au développement durable. L’objectif de la formation est : d’initier les étudiants aux méthodologies et outils spécifiques du génie des procédés, d’acquérir les premières approches des opérations unitaires et de transformation de la matière, de phénomènes de transfert (matière, énergie, mécanique des fluides) d’acquérir une approche pratique de la discipline (travaux pratiques, visites de sites industriels,…) La formation est complétée par des enseignements fondamentaux et pratiques de chimie (cinétique chimique, thermochimie, chimie analytique).
ME3SCH-PRSCH3AD	licence	Parcours type : Plurisciences	http://formations.univ-amu.fr/ME3SCH-PRSCH3AD.html	'Cette formation s''adresse à des étudiants scientifiques aimant les sciences et désirant faire partager leur savoir scientifique en milieu scolaire ou extrascolaire. La formation leur permet d''acquérir une véritable maîtrise des savoirs scientifiques ainsi que des outils permettant leur transmission. Pour cela, la formation s''appuie sur une pédagogie innovante à base de nombreux travaux personnels (mémoires, exposés, réalisations expérimentales…) qui permet à l''étudiant de devenir plus autonome, plus acteur et responsable. Une parfaite maîtrise de la langue française étant nécessaire pour faire partager son savoir, ce parcours laisse une place importante au français sous différentes formes. Cette formation est particulièrement bien adaptée pour les étudiants désirant s''orienter vers la diffusion des sciences et le professorat des écoles. A l’issue de cette formation, les étudiants doivent être capables d’éveiller et éduquer un public scolaire ou extrascolaire aux sciences en transmettant de façon rigoureuse et pédagogique des savoirs pluridisciplinaires.'
ME3SHU	licence	Sciences et humanités	http://formations.univ-amu.fr/ME3SHU.html	La diversité des champs disciplinaires explorés dans la licence Sciences et Humanités est une opportunité d’ouverture et d’apprentissage pour les étudiant-e-s. La transdisciplinarité, au cœur de cette formation, se décline en quatre grands axes pédagogiques : maîtrise des bases disciplinaires, rapport critique aux savoirs, développement de l’exercice rationnel et de l’expression, sens de la responsabilité. L’enseignement se développe autour de 6 grandes thématiques que l’on approfondit chaque semaine au fil des 3 ans (Nature et Culture / Systèmes du Monde / Vision, Lumière, Couleur / Figures du Pouvoir / Logique, Langage, Calcul / Approche critique de la Langue). C’est en jouant jeu d’une formation organiquement transdisciplinaire, aux antipodes de la juxtaposition classique des savoirs et des enseignements, que l’étudiant-e pourra approcher les objectifs énoncés, avoir la chance d’avancer dans la réalisation de ses projets et de ses désirs, et découvrir un peu mieux qui elle/il est.
ME3SHU-PRSHU3AA	licence	Parcours type : Transdisciplinarité	http://formations.univ-amu.fr/ME3SHU-PRSHU3AA.html	Tronc commun pendant 2 ans. Choix de parcours en 3è année : Parcours A  : Transdisciplinaire. Ouvre vers les masters de la diffusion des savoirs et les masters multidisciplinaires (urbanisme, sciences sociales comparées…). Parcours B  : Spécialisation disciplinaire (Sciences de la vie, Philosophie, Sciences physiques, Histoire, Mathématiques, Sciences du langage, Lettres Modernes, Anthropologie, Sociologie, Enseignement). Offre une transition progressive vers le Master de la discipline choisie.
ME3SHU-PRSHU3AB	licence	Parcours type : Spécialisation disciplinaire	http://formations.univ-amu.fr/ME3SHU-PRSHU3AB.html	Tronc commun pendant 2 ans. Choix de parcours en 3è année : Parcours A  : Transdisciplinaire. Ouvre vers les masters de la diffusion des savoirs et les masters multidisciplinaires (urbanisme, sciences sociales comparées…). Parcours B  : Spécialisation disciplinaire (Sciences de la vie, Philosophie, Sciences physiques, Histoire, Mathématiques, Sciences du langage, Lettres Modernes, Anthropologie, Sociologie, Enseignement). Offre une transition progressive vers le Master de la discipline choisie.
